ach,com,dpa_descan,dpa_despar,dpa_despro,eac,fen,frm,nam,objectid,plz,rgm,sol,tipo_mineral,tmm,ttm
2000,CAYA 7,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1005886800000,EXPLORACION INICIAL,101071,40,252,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
3880,CAYA 20,LIMON INDANZA,SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO),MORONA SANTIAGO,INSCRITA,1001480400000,EXPLORACION INICIAL,101074,41,258,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
2499,CAYA 21,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1001480400000,EXPLORACION AVANZADA,101083,42,256,GRAN MINERIA,CONCESION MINERA,METALICO,COBRE, LOWELL MINERAL EXPLORATION ECUADOR S.A.
2499,CAYA 22,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1001480400000,EXPLORACION AVANZADA,101092,43,256,GRAN MINERIA,CONCESION MINERA,METALICO,COBRE, LOWELL MINERAL EXPLORATION ECUADOR S.A.
6,EL TIGRE,GUALACEO,JADAN,AZUAY,INSCRITA,1273208400000,EXPLORACION-EXPLOTACION,101149,44,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
5000,CAYA 29,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1005886800000,EXPLORACION INICIAL,101160,45,257,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
100,BETA OT,CUENCA,CUMBE,AZUAY,INSCRITA,1274850000000,EXPLORACION-EXPLOTACION,101195.1,46,360,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,CAOLIN, EXPORTADORA DE MINAS ORIENTE ORMIEX C.A.
2625,SHYRI,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1272517200000,EXPLORACION-EXPLOTACION,101203,47,257,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO,CARRION FEIJOO JOSE ORLANDO
119,LA VELADORA 1,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1274850000000,EXPLOTACION,101217,48,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO, ARENERA ANROPEVI CIA LTDA
295,BARRANCO COLORADO,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1003381200000,EXPLORACION-EXPLOTACION,101250,49,292,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO, COLORADO MINING COLMINING S.A.
69,CHICO DORADO,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1272258000000,EXPLORACION-EXPLOTACION,101254,50,255,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,BUSTAMANTE LEON LUIS ALBERTO
116,MAYRA I,PUCARA,PUCARA,AZUAY,INSCRITA,1272949200000,EXPLORACION-EXPLOTACION,101265,51,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, FUENLABRADA CIA. LTDA.
169,SCORPIO,PUCARA,PUCARA,AZUAY,INSCRITA,994654800000,EXPLORACION-EXPLOTACION,101287,52,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
107,GALA 1,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1272603600000,EXPLORACION-EXPLOTACION,101324,53,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,QUEZADA PIZARRO JUAN CARLOS
66,ZAPOTE 1,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1274763600000,EXPLOTACION,101329,54,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,FIGUEROA QUEVEDO ALFONSO MARIA
66,EL RETORNO 1,CUENCA,MOLLETURO,AZUAY,INSCRITA,1274418000000,EXPLORACION-EXPLOTACION,101394,55,300,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO,CORONEL URGILES EDUARDO JOSE
42,HUAQUILLAS 2,LA TRONCAL,LA TRONCAL,CAÑAR,INSCRITA,1276837200000,EXPLORACION-EXPLOTACION,101435,57,77,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA,CAJAS QUEZADA MANUEL AGUSTIN
204,SAN SEBASTIAN II,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1003813200000,EXPLORACION-EXPLOTACION,101455,58,293,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO PLATA, ORENAS S.A.
323,SAN JOSE III,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1274418000000,EXPLORACION-EXPLOTACION,101483,59,256,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO PLATA, SAGRADO CORAZON DE JESUS GOLD MINING SAGOLDM S.A.S.
271,BARRANCO COLORADO 1,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1272603600000,EXPLORACION-EXPLOTACION,101503,61,256,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO, COLORADO MINING COLMINING S.A.
12,JULIAN,PAUTE,EL CABO,AZUAY,INSCRITA,1275022800000,EXPLOTACION,101504,62,360,REGIMEN GENERAL,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,TINOCO ROSALES  BORIS IVAN
1855,CERRO CASCO 2,CUENCA,BANOS,AZUAY,INSCRITA,1649134800000,EXPLORACION AVANZADA,10000909,66,118,GRAN MINERIA,CONCESION MINERA,METALICO,ORO,DPMECUADOR S A
696,GUENA II,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1272258000000,EXPLORACION-EXPLOTACION,101584,67,255,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO, ASOCIACION DE PRODUCCION BENEFICIO FUNDICION Y REFINACION DE ORO Y OTROS MINERALES RENACER M3 GUENA II
36,LA MARAVILLA,PAUTE,SAN CRISTOBAL (CARLOS ORDOÑES LAZO),AZUAY,INSCRITA,1275627600000,EXPLORACION-EXPLOTACION,101594,68,360,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,PIEDRA DE RIO,PORTILLA SARMIENTO  PABLO PATRICIO
97,ESCORPION,PUCARA,PUCARA,AZUAY,INSCRITA,1273294800000,EXPLORACION-EXPLOTACION,101600,69,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, COMPANIA DE INVESTIGACION Y EXPLOTACION MINERA EXPLOMINAS S.A.
974,RENACER M3,PONCE ENRIQUEZ,PONCE ENRIQUEZ,AZUAY,INSCRITA,1272603600000,EXPLOTACION,101602,70,254,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO PLATA, ASOCIACION DE PRODUCCION BENEFICIO FUNDICION Y REFINACION DE ORO Y OTROS MINERALES RENACER M3 GUENA II
97,CRUZ LOMA,NABON,NABON,AZUAY,INSCRITA,1272949200000,EXPLORACION-EXPLOTACION,101607,71,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, FUENLABRADA CIA. LTDA.
